Medium shot, 28-year-old female slender and curvy build long flowing black hair captivating silver eyes exotic and beautiful facial features Cerulean blue silk gown sitting inside a carriage looking at 40-year-old male thin build neat black hair sly dark eyes ordinary facial features Plain olive green tunic relaxing sitting next to her looking forward, dimly lit luxurious horse carriage interior, night, cinematic lighting
Medium shot, a survivor pointing looking shocked towards the ruins, completely collapsed concrete buildings and shattered debris, dead of night, intense red firelight
Close-up, a cultivator shouting looking terrified towards the sky, completely collapsed concrete buildings and shattered debris, dead of night, intense red firelight
Wide shot, some survivors standing together looking horrified towards the destruction, completely collapsed concrete buildings and shattered debris, dead of night, intense red firelight
Medium shot, a survivor pointing up looking towards a spatial rift, completely collapsed concrete buildings and shattered debris, dead of night, intense red firelight
Close-up, a survivor talking animatedly looking at the crowd, completely collapsed concrete buildings and shattered debris, dead of night, intense red firelight
Wide shot, some survivors gossiping looking towards the ruined bureau, completely collapsed concrete buildings and shattered debris, dead of night, intense red firelight
Medium shot, 28-year-old female slender and curvy build long flowing black hair captivating silver eyes exotic and beautiful facial features Cerulean blue silk gown standing silently listening looking at the crowd, completely collapsed concrete buildings and shattered debris, dead of night, intense red firelight
Medium shot, 29-year-old male athletic build short black hair alert dark eyes ordinary facial features Dark navy blue patrol uniform flying out of the ruins looking sternly at the crowd, completely collapsed concrete buildings and shattered debris, dead of night, intense red firelight
Medium shot, 29-year-old male athletic build short black hair alert dark eyes ordinary facial features Dark navy blue patrol uniform shouting commands looking at the crowd, completely collapsed concrete buildings and shattered debris, dead of night, intense red firelight
Wide shot, 29-year-old male athletic build short black hair alert dark eyes ordinary facial features Dark navy blue patrol uniform directing hand gestures looking at some soldiers, completely collapsed concrete buildings and shattered debris, dead of night, intense red firelight
Medium shot, 28-year-old female slender and curvy build long flowing black hair captivating silver eyes exotic and beautiful facial features Cerulean blue silk gown walking forward looking at 29-year-old male athletic build short black hair alert dark eyes ordinary facial features Dark navy blue patrol uniform turning his head looking back at her, completely collapsed concrete buildings and shattered debris, dead of night, intense red firelight
Medium shot, 29-year-old male athletic build short black hair alert dark eyes ordinary facial features Dark navy blue patrol uniform shaking his head looking at the ruins, completely collapsed concrete buildings and shattered debris, dead of night, intense red firelight
Close-up, 29-year-old male athletic build short black hair alert dark eyes ordinary facial features Dark navy blue patrol uniform speaking strictly looking off-screen left, completely collapsed concrete buildings and shattered debris, dead of night, intense red firelight
Medium shot, 29-year-old male athletic build short black hair alert dark eyes ordinary facial features Dark navy blue patrol uniform flying away looking towards the sky, completely collapsed concrete buildings and shattered debris, dead of night, intense red firelight
Wide shot, 45-year-old male average build messy black hair anxious dark eyes ordinary facial features Faded blue shirt with brown vest running desperately looking horrified at the ruins, completely destroyed bureau building turned into rubble, dead of night, raging fires and thick smoke
Close-up, 45-year-old male average build messy black hair anxious dark eyes ordinary facial features Faded blue shirt with brown vest staring intensely looking at the bloody debris, completely destroyed bureau building turned into rubble, dead of night, raging fires and thick smoke
Wide shot, some soldiers running with equipment looking towards the fires, completely destroyed bureau building turned into rubble, dead of night, raging fires and thick smoke
Medium shot, 45-year-old male average build messy black hair anxious dark eyes ordinary facial features Faded blue shirt with brown vest standing in shock looking at a soldier running up shouting looking at him, completely destroyed bureau building turned into rubble, dead of night, raging fires and thick smoke
Close-up, 45-year-old male average build messy black hair anxious dark eyes ordinary facial features Faded blue shirt with brown vest asking anxiously looking at the soldier, completely destroyed bureau building turned into rubble, dead of night, raging fires and thick smoke
Medium shot, a soldier shaking his head looking sympathetically at 45-year-old male average build messy black hair anxious dark eyes ordinary facial features Faded blue shirt with brown vest standing frozen looking at him, completely destroyed bureau building turned into rubble, dead of night, raging fires and thick smoke
Close-up, a soldier pointing away looking at his companion, completely destroyed bureau building turned into rubble, dead of night, raging fires and thick smoke
Medium shot, a soldier shrugging his shoulders looking at the burning debris, completely destroyed bureau building turned into rubble, dead of night, raging fires and thick smoke
Close-up, 45-year-old male average build messy black hair anxious dark eyes ordinary facial features Faded blue shirt with brown vest clenching his fists looking devastated downwards, completely destroyed bureau building turned into rubble, dead of night, raging fires and thick smoke
Medium shot, 45-year-old male average build messy black hair anxious dark eyes ordinary facial features Faded blue shirt with brown vest thinking deeply looking at the burning ruins, completely destroyed bureau building turned into rubble, dead of night, raging fires and thick smoke
Close-up, 45-year-old male average build messy black hair anxious dark eyes ordinary facial features Faded blue shirt with brown vest frowning angrily looking towards the destroyed building, completely destroyed bureau building turned into rubble, dead of night, raging fires and thick smoke
Medium shot, 45-year-old male average build messy black hair anxious dark eyes ordinary facial features Faded blue shirt with brown vest gritting his teeth looking furious towards the debris, completely destroyed bureau building turned into rubble, dead of night, raging fires and thick smoke
Close-up, 45-year-old male average build messy black hair anxious dark eyes ordinary facial features Faded blue shirt with brown vest thinking suspiciously looking towards the dark sky, completely destroyed bureau building turned into rubble, dead of night, raging fires and thick smoke
Medium shot, 45-year-old male average build messy black hair anxious dark eyes ordinary facial features Faded blue shirt with brown vest standing frozen looking fearful towards the crowd, completely destroyed bureau building turned into rubble, dead of night, raging fires and thick smoke
Close-up, 45-year-old male average build messy black hair anxious dark eyes ordinary facial features Faded blue shirt with brown vest swallowing hard looking nervous around the area, completely destroyed bureau building turned into rubble, dead of night, raging fires and thick smoke
Medium shot, 45-year-old male average build messy black hair anxious dark eyes ordinary facial features Faded blue shirt with brown vest glancing suspiciously looking at the surrounding crowd, completely destroyed bureau building turned into rubble, dead of night, raging fires and thick smoke
Medium shot, 45-year-old male average build messy black hair anxious dark eyes ordinary facial features Faded blue shirt with brown vest turning around quickly looking determined towards the exit, completely destroyed bureau building turned into rubble, dead of night, raging fires and thick smoke
Medium shot, a soldier gesturing away looking at his companion, completely destroyed bureau building turned into rubble, dead of night, raging fires and thick smoke
Wide shot, 45-year-old male average build messy black hair anxious dark eyes ordinary facial features Faded blue shirt with brown vest running quickly looking towards a glowing teleportation array, ruined city street, dead of night, glowing magical lights
Medium shot, 45-year-old male average build messy black hair anxious dark eyes ordinary facial features Faded blue shirt with brown vest stepping inside looking towards the bright light, glowing teleportation array in the city, dead of night, blinding magical illumination
Medium shot, 20-year-old female curvaceous and tall build long straight black hair captivating dark eyes beautiful and cold elegant facial features Light blue silk nightgown sitting at a desk reading documents looking down, indoor office setting, dead of night, cold artificial lighting
Close-up, 20-year-old female curvaceous and tall build long straight black hair captivating dark eyes beautiful and cold elegant facial features Light blue silk nightgown writing on a paper looking focused, indoor office setting, dead of night, cold artificial lighting
Medium shot, 20-year-old female curvaceous and tall build long straight black hair captivating dark eyes beautiful and cold elegant facial features Light blue silk nightgown holding a phone to her ear talking sternly looking forward, indoor office setting, dead of night, cold artificial lighting
Close-up, 45-year-old male average build messy black hair anxious dark eyes ordinary facial features Faded blue shirt with brown vest holding a phone to his ear speaking frantically looking around, city street corner in Long Thanh, dead of night, dim street lighting
Medium shot, 45-year-old male average build messy black hair anxious dark eyes ordinary facial features Faded blue shirt with brown vest talking rapidly on the phone looking stressed, city street corner in Long Thanh, dead of night, dim street lighting
Close-up, 20-year-old female curvaceous and tall build long straight black hair captivating dark eyes beautiful and cold elegant facial features Light blue silk nightgown gripping the phone tightly looking furious, indoor office setting, dead of night, cold artificial lighting
Medium shot, 20-year-old female curvaceous and tall build long straight black hair captivating dark eyes beautiful and cold elegant facial features Light blue silk nightgown speaking quickly into the phone looking serious, indoor office setting, dead of night, cold artificial lighting
Medium shot, 45-year-old male average build messy black hair anxious dark eyes ordinary facial features Faded blue shirt with brown vest speaking passionately into the phone looking up, city street corner in Long Thanh, dead of night, dim street lighting
Close-up, 45-year-old male average build messy black hair anxious dark eyes ordinary facial features Faded blue shirt with brown vest sighing deeply looking down, city street corner in Long Thanh, dead of night, dim street lighting
Medium shot, 20-year-old female curvaceous and tall build long straight black hair captivating dark eyes beautiful and cold elegant facial features Light blue silk nightgown putting the phone down looking suspicious, indoor office setting, dead of night, cold artificial lighting
Medium shot, 20-year-old female curvaceous and tall build long straight black hair captivating dark eyes beautiful and cold elegant facial features Light blue silk nightgown holding a communication device speaking respectfully looking forward, indoor office setting, dead of night, cold artificial lighting
Close-up, 20-year-old female curvaceous and tall build long straight black hair captivating dark eyes beautiful and cold elegant facial features Light blue silk nightgown talking seriously looking at the communication device, indoor office setting, dead of night, cold artificial lighting
Medium shot, 19-year-old male muscular and athletic build short neat black hair sharp and calm dark eyes handsome and resolute facial features Dark navy blue tactical outdoor jacket and cargo pants holding a communication device speaking calmly looking forward, dark luxurious room, dead of night, moody cinematic lighting
Close-up, 19-year-old male muscular and athletic build short neat black hair sharp and calm dark eyes handsome and resolute facial features Dark navy blue tactical outdoor jacket and cargo pants talking confidently looking at the communication device, dark luxurious room, dead of night, moody cinematic lighting
Medium shot, 20-year-old female curvaceous and tall build long straight black hair captivating dark eyes beautiful and cold elegant facial features Light blue silk nightgown exhaling in relief looking forward, indoor office setting, dead of night, cold artificial lighting
Close-up, 19-year-old male muscular and athletic build short neat black hair sharp and calm dark eyes handsome and resolute facial features Dark navy blue tactical outdoor jacket and cargo pants smirking coldly looking forward, dark luxurious room, dead of night, moody cinematic lighting
Medium shot, 20-year-old female curvaceous and tall build long straight black hair captivating dark eyes beautiful and cold elegant facial features Light blue silk nightgown widening her eyes in realization looking forward, indoor office setting, dead of night, cold artificial lighting
Close-up, 20-year-old female curvaceous and tall build long straight black hair captivating dark eyes beautiful and cold elegant facial features Light blue silk nightgown nodding slowly looking thoughtful, indoor office setting, dead of night, cold artificial lighting
Medium shot, 19-year-old male muscular and athletic build short neat black hair sharp and calm dark eyes handsome and resolute facial features Dark navy blue tactical outdoor jacket and cargo pants speaking philosophically looking out a window, dark luxurious room, dead of night, moonlight shining through
Close-up, 19-year-old male muscular and athletic build short neat black hair sharp and calm dark eyes handsome and resolute facial features Dark navy blue tactical outdoor jacket and cargo pants narrowing his eyes speaking firmly looking forward, dark luxurious room, dead of night, moody cinematic lighting
Medium shot, 20-year-old female curvaceous and tall build long straight black hair captivating dark eyes beautiful and cold elegant facial features Light blue silk nightgown smiling faintly looking forward, indoor office setting, dead of night, cold artificial lighting
Close-up, 20-year-old female curvaceous and tall build long straight black hair captivating dark eyes beautiful and cold elegant facial features Light blue silk nightgown looking determined staring intensely forward, indoor office setting, dead of night, cold artificial lighting
Medium shot, 20-year-old female curvaceous and tall build long straight black hair captivating dark eyes beautiful and cold elegant facial features Light blue silk nightgown leaning back in her chair looking relaxed, indoor office setting, dead of night, cold artificial lighting
Close-up, 20-year-old female curvaceous and tall build long straight black hair captivating dark eyes beautiful and cold elegant facial features Light blue silk nightgown tapping her fingers on the desk looking thoughtful, indoor office setting, dead of night, cold artificial lighting
Medium shot, 20-year-old female curvaceous and tall build long straight black hair captivating dark eyes beautiful and cold elegant facial features Light blue silk nightgown writing notes looking focused downwards, indoor office setting, dead of night, cold artificial lighting
Close-up, 20-year-old female curvaceous and tall build long straight black hair captivating dark eyes beautiful and cold elegant facial features Light blue silk nightgown staring coldly looking forward, indoor office setting, dead of night, cold artificial lighting
Medium shot, 20-year-old female curvaceous and tall build long straight black hair captivating dark eyes beautiful and cold elegant facial features Light blue silk nightgown thinking seriously looking at her documents, indoor office setting, dead of night, cold artificial lighting
Close-up, 20-year-old female curvaceous and tall build long straight black hair captivating dark eyes beautiful and cold elegant facial features Light blue silk nightgown nodding firmly looking forward, indoor office setting, dead of night, cold artificial lighting
Wide shot, 20-year-old female curvaceous and tall build long straight black hair captivating dark eyes beautiful and cold elegant facial features Light blue silk nightgown sitting alone at her desk looking out the window, indoor office setting, dead of night, cold artificial lighting
Medium shot, 20-year-old female curvaceous and tall build long straight black hair captivating dark eyes beautiful and cold elegant facial features Light blue silk nightgown organizing papers looking down, indoor office setting, dead of night, cold artificial lighting
Wide shot, some survivors rushing out looking around frantically, large glowing teleportation array in the city, dead of night, magical glowing lights
Medium shot, a reporter holding a microphone running forward looking eager, completely destroyed bureau building turned into rubble, dead of night, harsh camera lighting
Medium shot, 48-year-old male plump build short black hair panicked dark eyes greedy facial features Dark brown suit acting sad speaking into a microphone looking at a reporter, completely destroyed bureau building turned into rubble, dead of night, harsh camera lighting
Close-up, 48-year-old male plump build short black hair panicked dark eyes greedy facial features Dark brown suit wiping a fake tear looking sorrowful, completely destroyed bureau building turned into rubble, dead of night, harsh camera lighting
Medium shot, 48-year-old male plump build short black hair panicked dark eyes greedy facial features Dark brown suit gesturing to the ruins looking sadly at the debris, completely destroyed bureau building turned into rubble, dead of night, harsh camera lighting
Medium shot, 35-year-old male average build neat black hair cautious dark eyes ordinary and sleazy facial features Black security chief uniform standing with arms crossed looking smugly at 48-year-old male plump build short black hair panicked dark eyes greedy facial features Dark brown suit acting sad looking at the reporter, completely destroyed bureau building turned into rubble, dead of night, dim ambient lighting
Close-up, 35-year-old male average build neat black hair cautious dark eyes ordinary and sleazy facial features Black security chief uniform smiling slyly looking forward, completely destroyed bureau building turned into rubble, dead of night, dim ambient lighting
Medium shot, 35-year-old male average build neat black hair cautious dark eyes ordinary and sleazy facial features Black security chief uniform smirking confidently looking towards the ruins, completely destroyed bureau building turned into rubble, dead of night, dim ambient lighting
Close-up, 35-year-old male average build neat black hair cautious dark eyes ordinary and sleazy facial features Black security chief uniform sneering proudly looking forward, completely destroyed bureau building turned into rubble, dead of night, dim ambient lighting
Medium shot, 35-year-old male average build neat black hair cautious dark eyes ordinary and sleazy facial features Black security chief uniform standing proudly looking at the reporters, completely destroyed bureau building turned into rubble, dead of night, dim ambient lighting
Close-up, 35-year-old male average build neat black hair cautious dark eyes ordinary and sleazy facial features Black security chief uniform laughing silently looking at the ground, completely destroyed bureau building turned into rubble, dead of night, dim ambient lighting
Medium shot, 25-year-old female slender and seductive build wavy black hair cunning dark eyes pretty and manipulative facial features Sparkling jade green dress running up looking panicked at 35-year-old male average build neat black hair cautious dark eyes ordinary and sleazy facial features Black security chief uniform standing proudly looking forward, completely destroyed bureau building turned into rubble, dead of night, dim ambient lighting
